Khusein Khaliev	W
Abdul-Aziz Abdulvakhabov	W
Gleristone Santos	W
Leandro Silva	W
Herdeson Batista	W
Bubba Jenkins	W
Abdul-Aziz Abdulvakhabov	L
Renat Lyatifov	W
Artur Lemos	W
Eduard Vartanyan	W
Jakub Kowalewicz	W
Thiago Meller	W
Radzh Khizriev	W
Georgi Stoyanov	W
Kirill Sukhomlinov	W
Abdul-Aziz Abdulvakhabov	L
Khamzat Dalgiev	W
Eduard Vartanyan	L
Rustam Bogotov	W
Rasul Mansurov	W
Akhmed Mirzaev	W
Renat Lyatifov	L
Victor Tchernetsky	W
Georgi Stoyanov	L
Magomed Radzhabov	W
Frodo Khasbulaev	L
Jose Lucas Fabiano de Melo	L
Murad Yusupov	W
Talekh Aliev	W
Yuriy Kelekhsaev	W
Sergey Golyaev	W
Vladimir Simonyan	W
Kirill Sukhomlinov	L
Khizri Radjabov	W
Khabib Nurmagomedov	L
Alexander Butenko	L
Ramazan Emeev	W
Rustam Thagabsoev	W
