Mike Rodriguez	W
Khadis Ibragimov	W
Patrick Cummins	W
Gian Villante	L
CB Dollaway	L
Nikita Krylov	L
Tim Boetsch	W
Derek Brunson	L
Rafael Natal	W
Thales Leites	L
Trevor Smith	W
Jacare Souza	L
Jake Shields	D
Clifford Starks	W
Kyle Noke	W
Tim Credeur	W
Aaron Simpson	L
David Loiseau	W
Alan Belcher	L
Demian Maia	L
Joe Doerksen	W
Scott Smith	W
Chris Price	W
Jason MacDonald	L
Kendall Grove	L
Rory Singer	W
Dave Menne	W
Nick Thompson	W
Rhomez Brower	W
Glover Teixeira	W
Joe Doerksen	L
Brian Ebersole	W
Kazuo Misaki	L
Shane Davis	W
Cory Devela	W
Jacen Flynn	W
Justin Hawes	W
Derek Downey	W
Rich Guerin	W
Ryan Pope	W
Shane Davis	L
Ryan Pope	W
