Saad Awad	L
Ben Wall	W
Takahiro Ashida	W
Dylan Fussell	W
Francisco Trevino	W
Fabio Mello	W
Francisco Trevino	L
Oriol Gaset	W
Ricky Legere Jr.	W
Kazuki Tokudome	L
Ahmad Ibrahim	W
Adam Gonzalez	W
David Rickels	L
Brian Warren	W
Mu Gyeom Choi	W
Brent Weedman	L
Sebastien Garguier	W
Robert Palacios	W
Masakazu Taguchi	W
Ji Ho Hwang	W
Bill Saures	W
Hideto Kondo	W
Iuri Silva Leal	W
Mike Pyle	L
Jason Cordero	W
Iuri Silva Leal	W
Jason Cordero	W
Marco Soto	W
Adam Lehman	W
Ben Gonzalez	W
Adam Lehman	D
Andrew Flores	W
Jason Zickerman	W
Vince Guzman	L
Luke Hodges	L
Adam Lehman	W
Donald Bolt	W
