Ray Rodriguez	L
Ricky Bandejas	L
Kevin Gray	L
Nick Urso	W
Terrion Ware	L
Adam Imhoff	W
Juan Santa Cruz	W
Craig Ross	W
Czar Sklavos	L
Nick Denis	L
Randy Villarreal	W
Adrian Wooley	W
Ryan Roberts	L
Josh Rave	W
Jameel Massouh	L
Zach Makovsky	L
Albert Rios	W
Mark Oshiro	W
Rafael de Freitas	L
Zach Wolff	W
Emmanuel Chapman	W
Ron Muir	W
Jesse Henley	W
Jesse Brock	L
Jeff Willingham	W
Olly Bradstreet	W
Vellore Caballero	W
Steven Siler	L
Woody Gonzales	W
Eddie Pelczynski	W
Ray Wolfley	W
Ty Hamblin	W
Brandon Visher	W
Mike Smith	W
Travis Marx	D
Ryan Schofield	W
Brenton Swanson	W
Tyler Toner	L
Dan Berry	W
Eric Buck	W
Steve Hellman	W
Raphael Assuncao	L
