Bozigit Ataev	D
Rashid Yusupov	W
Rakim Cleveland	W
Klidson Abreu	L
Ronny Markes	W
Attila Vegh	W
Rashid Yusupov	L
Stephan Puetz	W
Maro Perak	W
Florian Martin	W
Beksot Jiyanov	W
Stephan Puetz	L
Vasily Babich	W
Maciej Browarski	W
Reinaldo da Silva	W
Gadzhimurad Antigulov	W
Baga Agaev	W
Khadzhimurat Kamilov	W
Abdul-Kerim Edilov	W
Chuck Grigsby	W
Vinny Magalhaes	L
Vitaly Smirnov	W
Daniel Vizcaya	W
Rashid Magomadov	W
Shamil Vajsurov	W
Khanilav Khanilaev	L
Ramazan Rezvanov	W
Rasul Magomedaliev	W
Tony Lopez	L
Ilya Malyukov	W
Ishkhan Zakharian	W
Magomed Umarov	W
Sergey Khramov	W
Christian Bombay	W
Magomed Sultanakhmedov	L
