Edward Kelly	L
Kotetsu Boku	L
Arnaud Lepont	W
Adrian Pang	L
Caros Fodor	L
Eddie Ng	W
Eduard Folayang	L
Willy Ni	W
Tommy Depret	L
Willamy Freire	L
Grzegorz Tredowski	W
Danial Sharifi	L
Michiyuki Ishibashi	D
Maiky Reiter	L
Cengiz Dana	W
Yohan Quoniam	L
Jerry Kvarnstrom	L
Daniel Abrol	W
Sahin Yakut	W
Martin Begley	W
Bendy Casimir	L
Michael Van Puffelen	W
Danny Hoyer	W
David Alguacil	W
Wachagan Melkonian	W
Rik Pool	W
Marco Dritty	W
Owen Dempsey	W
Tom Niinimaki	L
Tom Niinimaki	L
Stephane da Costa	W
Daniel Weichel	L
Masato Fujiwara	L
Colin Mannsur	L
Colin Mannsur	D
Metin Yakut	L
