Rashid Yusupov	L
Rakim Cleveland	W
Emiliano Sordi	L
Sean O'Connell	L
Rakim Cleveland	W
Bozigit Ataev	W
Brandon Halsey	W
Jamie Abdallah	W
Karol Celinski	L
David Branch	L
Jake Heun	W
Matt Hamill	W
Jason Brilz	W
Jorge Gonzales	W
Jorge Gonzalez	W
Anthony Perosh	L
Phil Davis	L
Igor Pokrajac	W
Mikhail Zayats	W
Viktor Nemkov	W
Jake Doerr	W
Robert Scott	W
Alihan Magomedov	W
Pedro Galiza	L
Mike Nickels	W
Chris Davis	W
Eliot Marshall	L
Ryan Bader	L
Raphael Davis	L
Luis Ojeda	W
Adolfo de la Torre	W
George Bush	L
Chris Larkin	D
